2026-03-03 09:33:32 | INFO | chatbot | MongoDB Connected Successfully!
2026-03-03 09:33:34 | INFO | chatbot | Loading ML model...
2026-03-03 09:33:39 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-03 09:33:41 | INFO | chatbot | MongoDB setup completed
2026-03-03 09:33:48 | INFO | chatbot | MongoDB Connected Successfully!
2026-03-03 09:33:51 | INFO | chatbot | Loading ML model...
2026-03-03 09:33:56 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-03 09:33:57 | INFO | chatbot | MongoDB setup completed
2026-03-03 09:34:19 | ERROR | chatbot | MongoDB Connection Failed: The resolution lifetime expired after 21.167 seconds: Server Do53:10.148.36.86@53 answered The DNS operation timed out.; Server Do53:10.148.36.86@53 answered The DNS operation timed out.; Server Do53:10.148.36.86@53 answered The DNS operation timed out.; Server Do53:10.148.36.86@53 answered The DNS operation timed out.; Server Do53:10.148.36.86@53 answered The DNS operation timed out.; Server Do53:10.148.36.86@53 answered The DNS operation timed out.; Server Do53:10.148.36.86@53 answered The DNS operation timed out.
2026-03-03 09:35:40 | INFO | chatbot | Loading ML model...
2026-03-03 09:35:45 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-03 09:35:46 | INFO | chatbot | MongoDB setup completed
2026-03-03 09:35:56 | INFO | chatbot | MongoDB Connected Successfully!
2026-03-03 09:35:59 | INFO | chatbot | Loading ML model...
2026-03-03 09:36:04 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-03 09:36:06 | INFO | chatbot | MongoDB setup completed
2026-03-03 09:36:09 | INFO | chatbot | MongoDB Connected Successfully!
2026-03-03 09:36:13 | INFO | chatbot | Loading ML model...
2026-03-03 09:36:18 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-03 09:36:20 | INFO | chatbot | MongoDB setup completed
2026-03-03 09:36:29 | INFO | chatbot | MongoDB Connected Successfully!
2026-03-03 10:49:55 | INFO | chatbot | Home page accessed
2026-03-03 10:52:11 | INFO | chatbot | Loading ML model...
2026-03-03 10:52:15 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-03 10:52:17 | INFO | chatbot | MongoDB setup completed
2026-03-03 10:52:20 | INFO | chatbot | MongoDB Connected Successfully!
2026-03-07 20:13:50 | INFO | chatbot | ML model is loading...
2026-03-07 20:14:02 | INFO | chatbot | Model and vectorizer loaded successfully
2026-03-07 20:14:10 | INFO | chatbot | MongoDB setup completed
2026-03-07 20:14:42 | ERROR | chatbot | MongoDB Connection Failed: SSL handshake failed: ac-a8a3cwl-shard-00-01.gwhv7cr.mongodb.net:27017: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028) (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms),SSL handshake failed: ac-a8a3cwl-shard-00-00.gwhv7cr.mongodb.net:27017: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028) (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms),SSL handshake failed: ac-a8a3cwl-shard-00-02.gwhv7cr.mongodb.net:27017: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028) (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69ac39bab60bc9c6df34c929, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-a8a3cwl-shard-00-00.gwhv7cr.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('SSL handshake failed: ac-a8a3cwl-shard-00-00.gwhv7cr.mongodb.net:27017: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028) (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-a8a3cwl-shard-00-01.gwhv7cr.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('SSL handshake failed: ac-a8a3cwl-shard-00-01.gwhv7cr.mongodb.net:27017: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028) (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-a8a3cwl-shard-00-02.gwhv7cr.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('SSL handshake failed: ac-a8a3cwl-shard-00-02.gwhv7cr.mongodb.net:27017: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028) (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
